2020-08-13 05:53:09, An urgent appeal A mother who is having a complication of delivery at JDWRH thimphu needs your help with blood group A negative In case your group is A negative the hospital will sent ambulance to pick you up A mother came from far place dagana for delivery 77 630 231 , chenchoDema1 , ,791,Thimphu 
2020-08-13 05:37:18, 12 first contacts of the Phuentsholing case test positive but they were from the same mini dry port quarantine facility https t co 0mc89B2rqV , TenzingLamsang , ,24111,Thimphu 
2020-08-13 05:35:27, Hopefully the world can learn some things from Bhutan xf0 x9f x91 x8d https t co dWWoWqc1WD , jimjatz , ,32,Thimphu 
2020-08-13 05:23:12, So it is getting serious Prayers for the dry port workers xf0 x9f x99 x8f https t co AS013yEzEo , pradhan557 , ,257,Thimphu 
2020-08-13 05:20:35, Not a good news 12 more COVID19 positive case in Phuntsholing , ChhedupSangay , COVID19 ,1106,Thimphu 
2020-08-13 05:20:26, 5 more on every recharge done from eTeeru T amp C apply eteeru tashicell epaymentwitheteeru bhutan https t co NV27IcLJRt , TashiCell , eteeru tashicell epaymentwitheteeru bhutan ,1764,Thimphu 
2020-08-13 05:18:15, deeprajchhetri We re looking into the backend numbers and resolving the same by communicating with relevant authorities Thank you , TashiCell , ,1764,Thimphu 
2020-08-13 04:55:23, CJWMcClure peregrinefund BW Robinson Looking forward to this discussion , davidmhecht , ,501,Thimphu 
2020-08-13 04:55:07, Looking forward to this interesting dialogue https t co mJubxJOKOW , davidmhecht , ,501,Thimphu 
2020-08-13 04:30:22, chanbxyte Same to you D , uchiha soma , ,82,Thimphu 
2020-08-13 04:22:49, Matter of honour and pride as the 74th Independence Day of India approaches PMBhutan PMOIndia FMBhutan MEAIndia IndianDiplomacy MIB India PIB India DDNewslive IndependenceDay IndependenceDay2020 https t co nD7QKa2fxi , Indiainbhutan , 74th India IndependenceDay IndependenceDay2020 ,10710,Thimphu 
2020-08-13 04:13:01, To wake up to the sound of my son saying Apa Apa It s the best sound ever xc2 xa0 missingyoumybabyboy Chelela Pass Bhutan https t co aTWCF495Ea , rwangchuk88 , missingyoumybabyboy ,51,Paro 
