2020-07-14 04:19:33, Editorial Our Views amp Perspectives Let xe2 x80 x99s not let our guard down https t co s2r55VZRCh https t co 5eVr23pPpg , business bhutan , ,10493,Thimphu 
2020-07-14 04:08:15, General concern about COVID 19 extremely low https t co gFRoksTABN https t co 6M80sv4o5N , business bhutan , ,10493,Thimphu 
2020-07-14 03:45:22, BBS Radio Agricultural Marketing Information System AMIS https t co C3qkMKaWGG , BBSBhutan , ,51218,Thimphu 
2020-07-14 03:36:39, KehKeLelo12 rightwingchora KashmiriPandit7 Dharma Yoddhaa Mahender Chem darpanban Devalayatrika punarutthana AlpaChauhan VertigoWarrior Hi Five s , Bhutan is , ,107,Thimphu 
2020-07-14 03:22:44, Inviting applications from Bhutanese nationals for AYUSH scholarships coordinated by Indian Council For Cultural Relations Access the online application on A2A portal https t co lSPL3sLh5s latest by July 31 Please read the attached eligibility and guidelines https t co txd2CaGLF9 , Indiainbhutan , ,10335,Thimphu 
2020-07-14 02:51:07, good morning my Pari have a nice day https t co U00U9XYdMX https t co nfTCVIRFCR , SyedSaa1 , ,1571,Thimphu 
2020-07-14 02:10:04, One thing that I need to follow https t co dQRnTH7QhN , ChhedupSangay , ,1081,Thimphu 
2020-07-14 00:09:02, GR95790881 AltHistoryHub I love your profile pic , JCrosschild , ,1,Thimphu 
2020-07-13 21:02:08, COVID 19 update from Bhutan xf0 x9f x87 xa7 xf0 x9f x87 xb9 I m not expert but I wish Best for everyone and Stay Safe xf0 x9f x99 x8f BMT Happiness House https t co cjFE0gT9Xi , bhutan majestic , COVID ,1129,Thimphu 
2020-07-13 20:26:17, Look at this stupid little pirate Stupid little man artshare ArtistOnTwitter https t co xrN0BzCLJA , Caniiibal , pirate artshare ArtistOnTwitter ,128,Thimpu 
2020-07-13 20:21:37, Pengluin im suing , Caniiibal , ,128,Thimpu 
2020-07-13 20:11:45, Pengluin OH THESE ARE GOOD I just learned you cant do xe2 x80 x9c xe2 x80 x9c on twitter usernames heart been broke so many times xf0 x9f x98 x94 xe2 x9c x8a Canl bal Cani bal , Caniiibal , ,128,Thimpu 
2020-07-13 19:46:08, Shakes fist I wish I could have the same username in all my places Cani bal slaps Caniibal also slaps but it xe2 x80 x99s always dead accounts that take the name xf0 x9f x98 x94 xf0 x9f xa4 x98 xf0 x9f x8f xbc Is Caniiibal too many letters WHAT TO DO , Caniiibal , ,128,Thimpu 
2020-07-13 19:35:49, Pengluin Yessss yesyes https t co RpKnvsfPf4 , Caniiibal , ,128,Thimpu 
2020-07-13 18:16:42, pchilimzam Bhutan Telecom Same question I have Bhutan Telecom need to clarify this , ChhedupSangay , ,1081,Thimphu 
2020-07-13 18:01:35, Martin Luther King once said Our lives begin the end the day we become silent about things that matter , ChhedupSangay , ,1081,Thimphu 
2020-07-13 17:51:46, Can someone explain me this I have got 6k plus MB data balance but the message I got from Bhutan Telecom is bit different Does it mean my remaining balance is not valid https t co 7EL8zVdcnQ , ChhedupSangay , ,1081,Thimphu 
2020-07-13 16:49:31, There s no U turn No escape Go forward Move quickly Life is short Do what you think is right Enjoy but don t regret It s completely okay Good night , ChhedupSangay , ,1081,Thimphu 
