2020-06-27 16:32:54, Thank you xf0 x9f x99 x8f xf0 x9f x8f xbb xf0 x9f x99 x8f xf0 x9f x8f xbb xf0 x9f x99 x8f xf0 x9f x8f xbb Your Majesty la PM Address Prime Minister Dr Lotay Tshering on behalf of the nation thanked his Majesty The King for the interest waivers loan deferment and the Druk Gyalpo s Relief Kidu for affected citizens during the last three months Source BBS https t co yHHRzEuzP3 , FlyingBirdTour , PM Address ,27,Thimphu 
2020-06-27 16:23:48, KenchoTenzy sure wait u at paro , BekaySubba , ,54,Thimphu 
2020-06-27 14:43:59, Life is beautiful a beautiful mess fitness FridayVibes StaySafe https t co yfiS6lIChS , KinzangCheki , fitness FridayVibes StaySafe ,12,Bhutan 
2020-06-27 14:19:43, I think this is not perception but a reality Favouritism in public service delivery the most prevalent form of corruption https t co n1bZ6heeau , ChhedupSangay , ,1065,Thimphu 
2020-06-27 14:05:39, But please let us not rely on His Majesty s Kidu for our living Let us take up any job work hard to earn and support eachother xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f , ChhedupSangay , ,1065,Thimphu 
2020-06-27 14:03:30, At this time we have to thank His Majesty The King wholeheartedly His Majesty s leadership is truly exemplary and truly compassionate Words can t describe how thankful we are Thank You Your Majesty , ChhedupSangay , ,1065,Thimphu 
2020-06-27 14:01:13, Under Royal Kidu of His Majesty in response to COVID Bhutan is the only country where all citizens got a 6 month loan interest waiver March to September 2020 amp 50 loan interest waiver for another 6 months till March 2021 Loan EMI deferred for 15 months till June 2021 xf0 x9f x99 x8f xf0 x9f x87 xa7 xf0 x9f x87 xb9 , TenzingLamsang , ,22669,Thimphu 
2020-06-27 13:49:34, I have briefly talked with friends working in the Ministry of Finance and asked them how affected we are in terms of our national budget Got to learned that our national budget is 14 lower than last FY That s not much if we carefully look at from our economic activities , ChhedupSangay , ,1065,Thimphu 
2020-06-27 13:46:42, Missed HE Prime Minister s national address today But learned that His Majesty has granted a Kidu of loan interest waiver for next couple of months Can t describe how thankful and fortunate to be living in Bhutan Kadrin Che la Your Majesty xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f , ChhedupSangay , ,1065,Thimphu 
2020-06-27 13:18:41, DechenwangmoM pchilimzam Thank you for your leadership and for keeping us safe xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f , pnamgyel , ,614,Thimphu 
2020-06-27 13:16:06, Name me one King leader in the world who pays the loans of his her people subjects as a Covid19 relief measure King Jigme Khesar Namgyal Wangchuck King of Bhutan xf0 x9f x87 xa7 xf0 x9f x87 xb9 More than 100 000 Bhutanese stand to benefit from the Royal Kidu , namgayzam , Covid19 ,22550,Thimphu 
2020-06-27 13:13:59, Who doesn t love trees But the idea that we xe2 x80 x99re going to solve the climate crisis by planting a trillion trees is a particular kind of lunacy https t co iqxWK2JyoL , pnamgyel , ,614,Thimphu 
2020-06-27 13:10:42, Update from PMBhutan on BBS Loan interest waived off for the next couple of months as part of His Majesty xe2 x80 x99s kidu and loans deferred for one year with additional govt monetary amp fiscal intervention Bhutanese people are beyond lucky xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x99 x8f xf0 x9f x8f xbc Excerpt from press release https t co K5L5R379pW , namgayzam , ,22550,Thimphu 
2020-06-27 12:59:46, sonamtweetsx charlieputh xf0 x9f x98 x82 xf0 x9f x98 x82 u wanna fight Charlie Let Jisoo decide , ha na 08 , ,742,Thimphu 
2020-06-27 12:58:32, On field after 3 months soccer football https t co SlkLFU32uO , pradhan557 , soccer football ,256,Thimphu 
2020-06-27 12:47:53, e Library handed over to education ministry xc2 xa0 https t co uFIsAv8R5D , Indiainbhutan , ,10090,Thimphu 
2020-06-27 12:28:51, KenchoTenzy let us hv together xf0 x9f x98 x81 , BekaySubba , ,54,Thimphu 
2020-06-27 12:27:30, Our this week issue https t co 676j17WplJ , business bhutan , ,10351,Thimphu 
2020-06-27 12:01:08, 121GYUS Oh man i so can relate My heart literally vibrates at the sound of sungjin s voice xf0 x9f x98 xa9 xf0 x9f x92 x98 , Sonam Tshoks , ,21,Thimphu 
2020-06-27 11:36:30, ycrinzin Atleast I am glad that there are some who really know about Bhutan , cringngedup3 , ,54,Thimphu 
2020-06-27 10:57:47, pchilimzam Aunt just shared with me too Haha , namgayzam , ,22550,Thimphu 
2020-06-27 10:30:03, Did you know that Bhutan is the highest souvereign country in the world at an average altitude of 3 280m Unsurprisingly it is also one of the best countries for trekking and hiking Book your tour with us https t co dhBLlev6TN , bhutannorter , ,453,Thimphu 
2020-06-27 09:19:23, Which came first chicken or egg Neither both are not available in Thimphu xf0 x9f x98 x82 , binailama , ,516,Thimphu 
2020-06-27 09:17:24, Too many unknown faces Is this population explosion when the statistics says no xf0 x9f x98 x81 , binailama , ,516,Thimphu 
2020-06-27 09:03:26, As the ancient adage goes when one door closes another Trader Joe s opens QuotesFailMe DoorsOfBhutan EnterTheDragon Bhutan xe0 xbd xa0 xe0 xbd x96 xe0 xbe xb2 xe0 xbd xb4 xe0 xbd x82 xe0 xbc x8b xe0 xbd xa2 xe0 xbe x92 xe0 xbe xb1 xe0 xbd xa3 xe0 xbc x8b xe0 xbd x81 xe0 xbd x96 xe0 xbc x8b https t co jwtM9JvsUt , LovenRamos , QuotesFailMe DoorsOfBhutan EnterTheDragon ,2132,Bhutan 
2020-06-27 07:34:47, Congratulations Lt Col Karma Rigzin Also pleased to know that Bhutan has been upgraded to Tier 2 watchlist now https t co bPKcZjSlbI , FMBhutan , ,3265,Thimphu 
2020-06-27 07:01:07, Taking a risk could result in great reward today You xe2 x80 x99re eager More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
2020-06-27 07:01:00, Working behind the scenes can be to your advantage today Don More for Taurus https t co EECfQYA8HL , cixx67 , ,1510,Thimphu 
2020-06-27 07:00:15, You may be up against some stiff competition but you could st More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
2020-06-27 06:51:29, happy Saturday Miss Rao Sb https t co rHIdc2z4wt https t co 8GyihWDRlU , SyedSaa1 , ,1574,Thimphu 
2020-06-27 06:01:11, Ice Cream Date with my girls Never seen them this happy xf0 x9f xa4 xa3 daddyslittlegirls kriyesha krinisha Cloud 9 Gourmet Burger amp Milk Bar https t co JtmIlNM5hZ , bharatbugss , daddyslittlegirls kriyesha krinisha ,65,Thimphu 
2020-06-27 05:44:25, Great to embrace the light amp dark But be the ethometho when you are alive Picture KTDspeaks selfreflection soulbaring buddhist lightanddarkness trekkers360 xc2 xb0 trekinbhutan trekking buddhist ig bhutan bhutanese bhutan https t co onNcaWw00P , czdorji , ethometho selfreflection soulbaring buddhist lightanddarkness trekkers360 trekinbhutan trekking buddhist ig bhutan bhutanese bhutan ,2307,Thimphu 
2020-06-27 05:14:04, South Africa learned the hard way when we afforest ancient species rich grasslands with monocultures of alien trees xc2 xa0the rivers dry up and biodiversity is lost https t co yNwkx9emm1 , pnamgyel , ,614,Thimphu 
2020-06-27 04:53:38, xe2 x80 x98Ardha Baddha Padmottanasana xe2 x80 x99 or Half Bound Lotus Forward Bend as demonstrated by a group of yoga practitioners led by Ms Sonam Choden from Eastern Bhutan MyLifeMyYogaBHUTAN GharGharSeYoga InternationalDayofYoga2020 MEAIndia ICCR Delhi IndianDiplomacy moayush https t co exSQqZtmZo , Indiainbhutan , MyLifeMyYogaBHUTAN GharGharSeYoga InternationalDayofYoga2020 ,10090,Thimphu 
2020-06-27 04:36:50, Panoramic View of Thimphu City blessesd dairies adventuretime destinations journey Thimphu ig bhutan hike Thimphu Bhutan https t co r1YuxKJluI , Shachagyeltshen , blessesd dairies adventuretime destinations journey Thimphu ig bhutan hike ,123,Thimphu 
2020-06-27 04:17:06, Embracing the light amp the dark Picture KTDspeaks https t co h0RwYZbo2O , czdorji , ,2307,Thimphu 
2020-06-27 03:52:51, AchuKhegpa The insight is cute , pnamgyel , ,614,Thimphu 
2020-06-27 02:40:38, kairos catcher Awww hang in there xf0 x9f x92 x93 , namgayzam , ,22550,Thimphu 
2020-06-27 01:37:37, Goodmorning xf0 x9f x92 x95 xf0 x9f x99 x82 Happy weekends happyvibes xf0 x9f x92 x9c saturdaymorning staysafe xe2 x9d xa4 xef xb8 x8f Bhutan xe0 xbd xa0 xe0 xbd x96 xe0 xbe xb2 xe0 xbd xb4 xe0 xbd x82 xe0 xbc x8b xe0 xbd xa2 xe0 xbe x92 xe0 xbe xb1 xe0 xbd xa3 xe0 xbc x8b xe0 xbd x81 xe0 xbd x96 xe0 xbc x8b https t co XiU9SkYCkn , sonamch77788027 , happyvibes saturdaymorning staysafe ,1,Bhutan 
2020-06-27 01:10:58, Bhutan is an example of a true friend Never doubt my friends https t co ruhZRuXNjc , Swallowtail2014 , ,384,Thimphu 
2020-06-27 00:40:18, ndtv NDTV for telecasting an English tv news is mostly viewed in Bhutan However they speak and support other minor political parties like Congress amp AAP Media should report correct and true information to the public instead of tilting toward the political parties , nidhi bhattarai , ,3,Thimphu 
2020-06-27 00:26:27, namgayzam It xe2 x80 x99s just a fake news to regain political propongda in India BJP have become strong amp doing all the ways to build India and other minor political parties are blaming Modi government inciting Bhutan and other neighboring countries falling apart instead of building strong bonds , nidhi bhattarai , ,3,Thimphu 
2020-06-27 00:15:16, basicvaneRbx Gonna look like basicvane xf0 x9f x98 x84 , uchiha soma , ,34,Thimphu 
2020-06-26 21:18:32, I really miss some of my Paint tool sai brushes Idk how to put them recreate them in Clip studio heart break , Caniiibal , ,112,Thimpu 
2020-06-26 18:52:33, Life a journey https t co Gh9lD197Pv , backyardheaven , ,253,Thimphu 
2020-06-26 18:44:45, KrSanjayKrishna palkisu why did you report fake news about my country blocking water irrigation channel to India You xe2 x80 x99ve lost your credibility among Bhutanese viewers WION is Fake , ANANSG1 , ,0,Thimphu 
2020-06-26 18:37:27, palkisu why did you report fake news about my country blocking water irrigation channel to India You xe2 x80 x99ve lost your credibility among Bhutanese viewers WION is Fake , ANANSG1 , ,0,Thimphu 
2020-06-26 18:23:10, India Coronavirus active cases now only 38 91 Great recovery I think the timing of increasing the number of tests per day will help to find out and finish each and every case of Corona very soon https t co 1nDzfWBAob , backyardheaven , ,253,Thimphu 
2020-06-26 17:07:56, Not xe2 x80 x9creject xe2 x80 x9d You mean xe2 x80 x9ccorrect xe2 x80 x9d Indian media reaching new lows everyday with re to its neighbours The last I checked Bhutan was your only friend in the neighbourhood Indian media would do well not to ruin India xe2 x80 x99a relations with us https t co WvxGoFWo1e , namgayzam , ,22550,Thimphu 
2020-06-26 16:57:52, Cden0916 You are with wrong club Come to lfc You will never walk alone ChampionsOfEngland , ChhedupSangay , ChampionsOfEngland ,1065,Thimphu 
2020-06-26 16:41:04, palkisu WIONews Madam your news are hurting sentiments of many Bhutan xe2 x80 x99s people Your wrong misleading information what so call news is creating disharmony between two nations India And Bhutan Bhutan didn xe2 x80 x99t stop irrigation channel We want apology , LangaDorji7 , ,0,Thimphu 
2020-06-26 16:21:37, NijhumKhan17 thats great xf0 x9f x98 x83 xf0 x9f x98 x83 , ha na 08 , ,742,Thimphu 
2020-06-26 15:37:18, passangyt BBSBhutan No Google should be , ChhedupSangay , ,1065,Thimphu 
2020-06-26 15:32:17, DorjiWangchuk Choden says thank you xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f , ChhedupSangay , ,1065,Thimphu 
2020-06-26 15:16:48, BBSBhutan Chik Thuen has declared my daughter as the winner for Week 8 Quiz Congratulations to my daughter xf0 x9f x91 x8f xf0 x9f x91 x8f xf0 x9f x91 x8f https t co yLKWG4LBe9 , ChhedupSangay , ,1065,Thimphu 
2020-06-26 15:15:52, sonamtweetsx look at you look at me how you like that xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 , ha na 08 , ,742,Thimphu 
2020-06-26 15:12:52, republic Why Congress is so scared now Every one is talking about Galwan valley Shame on congress , nidhi bhattarai , ,3,Thimphu 
2020-06-26 14:48:21, Oxford vaccine against Covid 19 in final stage of clinical trials via htTweets https t co uPBwMH5Hmd , ChhedupSangay , ,1065,Thimphu 
2020-06-26 14:39:02, kxsmo so much swagger you wanted to watch him play futbol few STs like him , Crocodilovic , ,47,Thimphu 
2020-06-26 14:12:24, xf0 x9d x97 xa2 xf0 x9d x97 xbb xf0 x9d x97 xb2 xf0 x9d x98 x80 xf0 x9d x98 x81 xf0 x9d x97 xbc xf0 x9d x97 xbd xf0 x9d x97 xb1 xf0 x9d x97 xb2 xf0 x9d x98 x80 xf0 x9d x98 x81 xf0 x9d x97 xb6 xf0 x9d x97 xbb xf0 x9d x97 xae xf0 x9d x98 x81 xf0 x9d x97 xb6 xf0 x9d x97 xbc xf0 x9d x97 xbb xf0 x9d x97 xb3 xf0 x9d x97 xbc xf0 x9d x97 xbf xf0 x9d x97 xae xf0 x9d x97 xb9 xf0 x9d x97 xb9 xf0 x9d x98 x86 xf0 x9d x97 xbc xf0 x9d x98 x82 xf0 x9d x97 xbf xf0 x9d x97 xb3 xf0 x9d x97 xb6 xf0 x9d x97 xbb xf0 x9d x97 xae xf0 x9d x97 xbb xf0 x9d x97 xb0 xf0 x9d x97 xb6 xf0 x9d x97 xae xf0 x9d x97 xb9 xf0 x9d x97 xbb xf0 x9d x97 xb2 xf0 x9d x97 xb2 xf0 x9d x97 xb1 xf0 x9d x98 x80 Pay and transfer money with eTeeru and make your life easier For more info visit https t co wsCnuvj7e6 TashiCell https t co 9Z1R9lEmsE , TashiCell , TashiCell ,1744,Thimphu 
2020-06-26 14:11:13, Hard work of our farmers blown away by heavy wind This is somewhere in Pemagatshel called Bongmaan Khar Gewog Such a heavy blow to our farmers xf0 x9f x98 xad https t co ePpkiJeIiz , ChhedupSangay , ,1065,Thimphu 
2020-06-26 13:41:41, bubblydaniii That s talent xf0 x9f x98 x82 xf0 x9f x92 x99 , uchiha soma , ,34,Thimphu 
2020-06-26 13:08:29, rightIess Yeah it s ok homie , uchiha soma , ,34,Thimphu 
2020-06-26 13:07:12, my darling https t co 842IR4gNN8 https t co viJlSXbQyj , SyedSaa1 , ,1574,Thimphu 
2020-06-26 12:37:36, LeeLeaLeeLea May his soul Rest In Peace , Phuuuuubz19 , ,168,Thimphu 
2020-06-26 12:20:51, TenzingLamsang FMBhutan PMBhutan Where do they think Bhutan is going to block and store water in peak summer , pwangdi , ,157,Thimphu 
2020-06-26 12:13:12, hilalta suhasinih Foundation stone of project was laid in 2014 so no relation to current tensions , TenzingLamsang , ,22669,Thimphu 
2020-06-26 12:01:28, My mind is never empty https t co qkgkUY1EjL , TingKarr8 , ,31,Thimphu 
2020-06-26 11:13:19, Global Gaz Only bits so far tbh and read about it xf0 x9f x98 x81 , bhutannorter , ,453,Thimphu 
2020-06-26 11:02:44, republic He should have be in Jail instead of giving useless talk , nidhi bhattarai , ,3,Thimphu 
