2020-10-16 17:15:41, ColorsTV sidharth shukla jasminbhasin BeingSalmanKhan Take sid from bb big boss Aray favouring tamboli , YBhutanese , ,145,Thimphu 
2020-10-16 17:07:39, ColorsTV BeingSalmanKhan What the hell sid is saying yar Is hand masket omg , YBhutanese , ,145,Thimphu 
2020-10-16 17:03:20, ColorsTV jasminbhasin nikkitamboli BeingSalmanKhan jasmin is bery strong , YBhutanese , ,145,Thimphu 
2020-10-16 16:22:54, chriscorry16 Time to lift the quadruple now xf0 x9f x8d xbe xf0 x9f x8d xbe xf0 x9f x8d xbe xf0 x9f x8d xbe , phuzinspurs , ,1280,Thimphu 
2020-10-16 16:19:43, In March when we had one positive case people were so scard Today the number crossed 316 and we have 20 active cases Yet we are normal I can see people without face mask Restaurants are packed Social distance is almost zero Hmm https t co 2cDhqz9ot8 , ChhedupSangay , ,1157,Thimphu 
2020-10-16 16:19:01, Your chance to win a surprise gift hamper Don t forget to like and follow facebook Business Bhutan page https t co ziAp3EzD6J , business bhutan , ,11293,Thimphu 
2020-10-16 16:17:06, chriscorry16 Check news , phuzinspurs , ,1280,Thimphu 
2020-10-16 16:04:21, It was pleasure meeting the Gups from 11 Gewog coincidentally during my visit to Punakha Updated them on COVID 19 and government responses I was accompanied by Dasho Chencho and Dasho Lhaki Dolma the two MPs of Punakha , FMBhutan , ,4346,Thimphu 
2020-10-16 16:03:40, Visited Punakha to offer lunch to the workers at the Dzong who are engaged in the preparation for the purjang of Late Je Thrizur Pleased to have met officials and saw progress of the work https t co P4HQWvDmKU , FMBhutan , ,4346,Thimphu 
2020-10-16 15:47:46, Congratulations Prof PeteOSullivanPT for the grant Perhaps the paradigm shift you have been advocating for so long is becoming a reality https t co yHfQqSvaDG , monutamang , ,321,Thimphu 
2020-10-16 15:47:22, W59555289Dechen tempa Thank you for the beautiful picture Dechen I m new on Twitter xf0 x9f x98 x81 Hello , TempaTshering3 , ,5,Thimphu 
2020-10-16 15:36:53, A must read for those planning to jump into becoming a big data savvy Very basic yet very informative 2020reads https t co guR1G8Z15f , tenziurgan , 2020reads ,63,Thimphu 
2020-10-16 15:11:02, Successfully concluded our weekend meeting with grand dinner at Gojay Thinley Dorji amp Families Home Thank you xf0 x9f x99 x8f very much from all of us Babesa Thimphu https t co MMuyYSAlP8 , bhutan majestic , ,1152,Thimphu 
2020-10-16 13:42:22, catboys Galen left belongs to Grem artwork originalcharacter artistsontwitter https t co riAhPVUGCC , Caniiibal , catboys artwork originalcharacter artistsontwitter ,170,Thimpu 
2020-10-16 13:01:39, caricatured Nice one xf0 x9f x91 x8c , vikrantparate , ,30,Thimphu 
2020-10-16 10:07:33, Our Agri minister told Kuensel that Bhutan has been pushing to get 5 veg amp fruits in this list for 2 years In best case scenario this is a bureaucratic cock up amp we need to improve communication amp in worse case scenario India may be signaling some unpleasant diplomatic messages , TenzingLamsang , ,24582,Thimphu 
2020-10-16 10:05:31, To add to this the SSB which answers to India xe2 x80 x99s Home Ministry seized Bhutanese vegetable exports and stopped them as they are not in the export list to India , TenzingLamsang , ,24582,Thimphu 
2020-10-16 10:04:46, This is due to our small population and consumption dependence on India for imports and also close ties This has not been the case with the recent onion ban where Bhutan has not been excluded even as India is our sole source of import for the item , TenzingLamsang , ,24582,Thimphu 
2020-10-16 10:04:06, Thread Normally whenever India does an export ban of certain scarce food commodities Bhutan is either excluded from the ban or it is promptly lifted later An example is a rice export ban lifted for Bhutan in 2008 , TenzingLamsang , ,24582,Thimphu 
2020-10-16 08:12:11, Two new orchid species namely Chiloschista densiflora and Chiloschista himalaica were discovered from Bhutan by a team from the National Biodiversity Centre College of Natural Resources and the Department of Forests and Park Services https t co DvzLwrEGFU https t co 9qWlQEyUZy , moafbhutan , ,497,Thimphu 
2020-10-16 07:03:14, If you are in the market for a new job or position you may he More for Virgo https t co ytH6jMhay1 , czdorji , ,2319,Thimphu 
2020-10-16 07:01:30, Your friend list is long and you find it easy to gather the tr More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
2020-10-16 07:01:19, You xe2 x80 x99ve been so busy juggling multiple tasks that you may have More for Taurus https t co EECfQYA8HL , cixx67 , ,1508,Thimphu 
2020-10-16 07:00:17, You may be thinking about the past loss of a significant relat More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
2020-10-16 06:51:04, TRKarbaGhallay It takes time xf0 x9f x98 x9c , ChhedupSangay , ,1157,Thimphu 
2020-10-16 06:50:45, sarahmarb Infact this answer is a big slap on the face of government even though answer is purely out of innocence , vikrantparate , ,30,Thimphu 
2020-10-16 06:50:30, To all the math teachers With respects https t co Lh4zznVSLT , ChhedupSangay , ,1157,Thimphu 
