2020-08-29 14:03:52, Ooops War of words , sandeeps13 , ,275,Thimphu 
2020-08-29 13:46:50, Gangsta luvv xf0 x9f xa4 xad xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 who does that , zzezenn , ,2000,Thimphu 
2020-08-29 13:29:36, Death s still a mystery But life a little less so Alone we walk the Earth quiet But together As a team Oh we can do some sh t awfully loud One 6 Underground https t co my9ImTsc38 via MovieQuotesMore , RabiDahal , ,1274,Thimphu 
2020-08-29 13:05:40, karmajigmepema Walking to even buy essential is embarrassing with people staring from verandas and windows I feel like I might fall down any minute xf0 x9f xa4 xad , zzezenn , ,2000,Thimphu 
2020-08-29 12:59:38, I wanna dress up make up and go on a long ride justsaying lockdown , zzezenn , ,2000,Thimphu 
2020-08-29 12:17:02, COVID19Update Phuentsholing Bhutan 8 new cases detected from quarantine facilities in Phuntsholing last night all primary contacts of earlier cases Bhutan s total now 195 But people still debating about school tobacco vegetables chicken lockdown etc , kuenzakarma , COVID19Update Phuentsholing Bhutan Phuntsholing ,1383,Thimphu 
2020-08-29 12:06:47, kuendup Indiainbhutan narendramodi PMOIndia PMBhutan MEAIndia FMBhutan IndianDiplomacy WIONews DrSJaishankar drharshvardhan ITECnetwork devyani K PIB India PBNS India KuenselOnline DDNewslive BBSBhutan business bhutan I was trying to correlate The Supreme Court of Bhutan was inaugurated on 15th June 2014 It isn t even an anniversary This is a deliberate attempt by them to remind us of our smallness and vulnerabilities in respond to massive outcry in social media , monutamang , ,320,Thimphu 
2020-08-29 11:34:52, saurabhv99 This is Mumbai police so maintaining decency Can these reporter dare to behave like this with UP police Please don t test patience of Mumbai police , vikrantparate , ,21,Thimphu 
2020-08-29 11:17:17, A leaky bucket https t co ckeDE5lSjO , PhurbaPhuba , ,746,Thimphu 
2020-08-29 10:34:46, that chilip I understand But I also said we are singling out the government decision of tobacco products per se Can t understand why we should consider this act as a distinct to other decisions Also not sure which provision of the law says tobacco is banned , ChhedupSangay , ,1129,Thimphu 
2020-08-29 10:14:11, lekeydorji During lockdown six best doctor should be sanitizer soap shield mask water and diet xf0 x9f xa4 xa3 , DziJ , ,1721,Thimphu 
2020-08-29 10:04:33, that chilip Exactly We can t apply the law based on Indians or chillips characteristics , ChhedupSangay , ,1129,Thimphu 
2020-08-29 09:33:32, Me reading this What are you reading folks https t co DCklHG0fRp , DziJ , ,1721,Thimphu 
2020-08-29 08:25:31, True Our own fault at the end of the day https t co 8qBmbSQxYV , namgayzam , ,23764,Thimphu 
2020-08-29 08:18:21, Phuntshothangcommercialfarm in SamdrupJongkhar will be completing the cultivation of 100 acres of Khamtey a popular rice variety in a few days https t co NmdZRwFAAR https t co gJsU2xw8RN , moafbhutan , Phuntshothangcommercialfarm SamdrupJongkhar Khamtey ,475,Thimphu 
2020-08-29 08:13:54, Identified shops approved for opening in the zones are requested to call 1009 for your orders stayhome staysafe , moafbhutan , stayhome staysafe ,475,Thimphu 
2020-08-29 08:13:53, 28August2020 updateonvegetabledelivery 76 shops in all the zones received 7 3 tons of vegetables Today xe2 x80 x99s distribution delivery will be based on the orders received from the shops Sales are also being provided to the institutions , moafbhutan , 28August2020 updateonvegetabledelivery ,475,Thimphu 
2020-08-29 08:13:07, I couldn xe2 x80 x99t agree more https t co K2NOFnaPl5 , namgayzam , ,23764,Thimphu 
2020-08-29 08:05:49, sangaykhandu None of their official medium or informal sources said a word about cluster infection And we have Indian laborers in PHPA coming out in mass without even wearing masks , monutamang , ,320,Thimphu 
2020-08-29 07:03:43, 1thebidya I like that , BhattaraiYama , ,9,Thimphu 
2020-08-29 07:02:32, Happiness affection and financial rewards may be on the way More for Virgo https t co ytH6jMhay1 , czdorji , ,2320,Thimphu 
2020-08-29 07:01:12, The world is your oyster where professional matters are concer More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
2020-08-29 07:01:04, Your creative work could expand your horizons in a big way It More for Taurus https t co EECfQYA8HL , cixx67 , ,1507,Thimphu 
2020-08-29 07:00:16, Your loved ones have your best interests at heart Allow a wel More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,316,Thimphu 
2020-08-29 06:41:26, What a beautiful day https t co u7U3J5kleb , pem pa , ,341,Thimphu 
2020-08-29 05:54:08, Here s the full Q amp A xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f https t co 1ZvXCMvpkr https t co PAfHViwGQz , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:47:16, The Kingdom of Bhutan In Pursuit of Happiness https t co O6kpY9i6Kh , pnamgyel , ,664,Thimphu 
2020-08-29 05:44:43, Dozo phub Congratulations I salute you But we must appreciate there are people who cannot break it through We will have an ideal and perfect society if we have zero smokers Cheers , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:40:21, COVID 19 update from Bhutan xf0 x9f x87 xa7 xf0 x9f x87 xb9 Stay Home Stay Safe xf0 x9f x99 x8f BMT Happiness House https t co RY1Xs33Try , bhutan majestic , COVID ,1141,Thimphu 
